biome * ffffff ffffff ffffff
biome 0 ffffff 8eb971 71a74d
biome 1 ffffff 91bd59 77ab2f
biome 2 ffffff bfb755 aea42a
biome 3 ffffff 8ab689 6da36b
biome 4 ffffff 79c05a 59ae30
biome 5 ffffff 86b783 68a464
biome 6 e0ffae 6a7039 6a7039
biome 7 ffffff 8eb971 71a74d
biome 8 ffffff bfb755 aea42a
biome 9 ffffff 8eb971 71a74d
biome 10 ffffff 80b497 60a17b
biome 11 ffffff 80b497 60a17b
biome 12 ffffff 80b497 60a17b
biome 13 ffffff 80b497 60a17b
biome 14 ffffff 55c93f 2bbb0f
biome 15 ffffff 55c93f 2bbb0f
biome 16 ffffff 91bd59 77ab2f
biome 17 ffffff bfb755 aea42a
biome 18 ffffff 79c05a 59ae30
biome 19 ffffff 86b783 68a464
biome 20 ffffff 8ab689 6da36b
biome 21 ffffff 59c93c 30bb0b
biome 22 ffffff 59c93c 30bb0b
biome 23 ffffff 64c73f 3eb80f
biome 24 ffffff 8eb971 71a74d
biome 25 ffffff 8ab689 6da36b
biome 26 ffffff 83b593 64a278
biome 27 ffffff 88bb66 6ba940
biome 28 ffffff 88bb66 6ba940
biome 29 ffffff 3c571e 59ae30
biome 30 ffffff 80b497 60a17b
biome 31 ffffff 80b497 60a17b
biome 32 ffffff 86b87f 68a55f
biome 33 ffffff 86b87f 68a55f
biome 34 ffffff 8ab689 6da36b
biome 35 ffffff bfb755 aea42a
biome 36 ffffff bfb755 aea42a
biome 37 ffffff 90814d 9e814d
biome 38 ffffff 90814d 9e814d
biome 39 ffffff 90814d 9e814d
biome 40 ffffff 70c15b 4cb031
biome 41 ffffff 8eb971 71a74d
biome 42 ffffff 79c05a 59ae30
biome 43 ffffff 88b977 6aa755
biome 44 ffffff 72c250 4eb224
biome 45 e0ffae 5c694e 496137
biome 46 ffffff 7cbd6b 5bab46
biome 47 ffffff 84b68d 65a371
biome 48 ffffff 80b497 60a17b
biome 49 ffffff 91bd59 77ab2f
biome 50 ffffff b9b75b a6a432
biome 51 ffffff 7cbd6b 5bab46
biome 52 ffffff 61c64b 3bb61e
biome 53 ffffff 554114 e94e14
biome 54 ffffff 90b682 74a362
biome 55 ffffff 4b6754 3b5e3f
biome 56 ffffff 8eb93f 71a73f
biome 57 6c2c2c 572e23 64260f
biome 58 ffffff 90b682 74a362
biome 59 ffffff 70c441 70c441
biome 60 ffffff abd6bc abd6bc
biome 61 00ff2e 57ed64 57ed64
biome 62 ffffff 74d374 66e266
biome 63 ffffff 7fdb7d 7fdb7d
biome 64 ffffff 609e58 75b569
biome 65 ffffff cec577 aec681
biome 66 ffffff 83bb6d 63a948
biome 67 ffffff 7ca568 8acc6a
biome 68 ffffff ccc46c a3bc62
biome 69 ffffff a1c36d a1c36d
biome 70 ffffff 82c245 64b216
biome 71 ffffff 6dc257 48b22c
biome 72 ffffff 86b688 67a369
biome 73 ffffff 7fbc6d 60aa48
biome 74 ffffff 80b497 60a17b
biome 75 ffffff 47cd33 1abf00
biome 76 ffffff 8eb971 71a74d
biome 77 ffffff 81bb75 60a952
biome 78 ffffff 81bb75 60a952
biome 79 191919 80b497 60a17b
biome 80 ffffff 80b497 60a17b
biome 81 19d119 7cbd6b 5bab46
biome 82 ffffff 7cbd6b 5bab46
biome 83 ffffff 84b883 65a563
biome 84 ffffff 7cbd6b 5bab46
biome 85 33cc33 80b497 60a17b
biome 86 ffffff a0b676 87a353
biome 87 ffffff 47cd33 1abf00
biome 88 ffffff bfb755 aea42a
biome 89 ffffff 47cd33 1abf00
biome 90 ffffff 80b497 60a17b
biome 91 ffffff 8eb971 71a74d
biome 92 cc0066 81bb75 60a952
biome 93 993333 81bb75 60a952
biome 94 ffffff 81bb75 60a952
biome 95 ffffff 80b497 60a17b
biome 96 636084 5a935f 4f9657
biome 97 ffffff a3b74c 8ea621
biome 98 ffffff e2cda5 e2cda5
biome 99 ffffff 7fbc6d 60aa48
biome 100 242424 8eb971 71a74d
biome 101 002cff 8eb971 71a74d
biome 102 c000c0 8eb971 71a74d
biome 103 242424 8eb971 71a74d
biome 104 242424 8eb971 71a74d
biome 105 ffffff 8eb971 71a74d
biome 106 242424 8eb971 71a74d
